,Name of compound,Compound ID,molecular_weight,molecular_formula,SMILES
374,Entrectinib,Compound(25141092),560.6,C31H34F2N6O2,CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6
375,Enzalutamide,Compound(15951529),464.4,C21H16F4N4O2S,CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C
376,Ephedrine Hydrochloride,Compound(65326),201.69,C10H16ClNO,CC(C(C1=CC=CC=C1)O)NC.Cl
377,Epinastine Hydrochloride,Compound(157313),285.77,C16H16ClN3,C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N.Cl
378,Epirubicin Hydrochloride,Compound(65348),580.0,C27H30ClNO11,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl
379,Eplerenone,Compound(443872),414.5,C24H30O6,CC12CCC(=O)C=C1CC(C3C24C(O4)CC5(C3CCC56CCC(=O)O6)C)C(=O)OC
382,Epoprostenol,Compound(5282411),352.5,C20H32O5,CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O
383,Eprosartan,Compound(5281037),424.5,C23H24N2O4S,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)C=C(CC3=CC=CS3)C(=O)O
384,Eptifibatide,Compound(448812),832.0,C35H49N11O9S2,C1CC2C(=O)NC(CSSCCC(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N2C1)CC3=CNC4=CC=CC=C43)CC(=O)O)CCCCN=C(N)N)C(=O)N
385,Erdosteine,Compound(65632),249.3,C8H11NO4S2,C1CSC(=O)C1NC(=O)CSCC(=O)O
386,Ergocalciferol,Compound(5280793),396.6,C28H44O,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
387,Ergometrine Maleate,Compound(6437065),441.5,C23H27N3O6,CC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C.C(=CC(=O)O)C(=O)O
389,Eribulin,Compound(11354606),729.9,C40H59NO11,CC1CC2CCC3C(=C)CC(O3)CCC45CC6C(O4)C7C(O6)C(O5)C8C(O7)CCC(O8)CC(=O)CC9C(CC(C1=C)O2)OC(C9OC)CC(CN)O
390,Erlotinib,Compound(176870),393.4,C22H23N3O4,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC
391,Ertapenem,Compound(150610),475.5,C22H25N3O7S,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)C(C)O
392,Ertugliflozin,Compound(44814423),436.9,C22H25ClO7,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C34C(C(C(C(O3)(CO4)CO)O)O)O)Cl
393,Erythromycin,Compound(12560),733.9,C37H67NO13,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
394,Escitalopram,Compound(146570),324.4,C20H21FN2O,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
395,Esketamine,Compound(182137),237.72,C13H16ClNO,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
396,Eslicarbazepine Acetate,Compound(179344),296.32,C17H16N2O3,CC(=O)OC1CC2=CC=CC=C2N(C3=CC=CC=C13)C(=O)N
397,Esmolol Hydrochloride,Compound(104769),331.8,C16H26ClNO4,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O.Cl
398,Esomeprazole,Compound(9568614),345.4,C17H19N3O3S,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
399,Estradiol,Compound(5757),272.4,C18H24O2,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
400,Estramustine Phosphate,Compound(259329),520.4,C23H32Cl2NO6P,CC12CCC3C(C1CCC2OP(=O)(O)O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl
401,Estriol,Compound(5756),288.4,C18H24O3,CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O
404,Ethambutol Hydrochloride,Compound(14051),277.23,C10H26Cl2N2O2,CCC(CO)NCCNC(CC)CO.Cl.Cl
405,Ethinylestradiol,Compound(5991),296.4,C20H24O2,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O
406,Ethosuximide,Compound(3291),141.17,C7H11NO2,CCC1(CC(=O)NC1=O)C
407,Etodolac,Compound(3308),287.35,C17H21NO3,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O
408,Etomidate,Compound(667484),244.29,C14H16N2O2,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2
409,Etonogestrel,Compound(6917715),324.5,C22H28O2,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
410,Etoposide,Compound(36462),588.6,C29H32O13,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
411,Etoricoxib,Compound(123619),358.8,C18H15ClN2O2S,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C
412,Etravirine,Compound(193962),435.3,C20H15BrN6O,CC1=CC(=CC(=C1OC2=NC(=NC(=C2Br)N)NC3=CC=C(C=C3)C#N)C)C#N
413,Everolimus,Compound(6442177),958.2,C53H83NO14,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC
414,Exemestane,Compound(60198),296.4,C20H24O2,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C
416,Ezetimibe,Compound(150311),409.4,C24H21F2NO3,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O
418,Famciclovir,Compound(3324),321.33,C14H19N5O4,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C
419,Famotidine,Compound(5702160),337.5,C8H15N7O2S3,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N
420,Fampridine,Compound(1727),94.11,C5H6N2,C1=CN=CC=C1N
421,Febuxostat,Compound(134018),316.4,C16H16N2O3S,CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O
422,Felbinac,Compound(3332),212.24,C14H12O2,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O
423,Felodipine,Compound(3333),384.2,C18H19Cl2NO4,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
424,Fenofibrate,Compound(3339),360.8,C20H21ClO4,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
425,Fentanyl,Compound(3345),336.5,C22H28N2O,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
426,Fenticonazole Nitrate,Compound(51754),518.4,C24H21Cl2N3O4S,C1=CC=C(C=C1)SC2=CC=C(C=C2)COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl.[N+](=O)(O)[O-]
427,Ferric Carboxymaltose,Compound(86278165),788.4,C24H44FeO25-,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC(C(CO)O)C(C(C(=O)[O-])O)O)CO)CO)O)O)O)O.O.[OH-].[O-2].[Fe+3]
428,Ferric Maltol,Compound(169535),431.2,C18H15FeO9,CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].[Fe+3]
429,Ferrous Fumarate,Compound(6433164),169.9,C4H2FeO4,C(=CC(=O)[O-])C(=O)[O-].[Fe+2]
430,Ferrous Gluconate,Compound(23616740),446.14,C12H22FeO14,C(C(C(C(C(C(=O)[O-])O)O)O)O)O.C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Fe+2]
431,Ferrous Sulfate,Compound(24393),151.91,FeO4S,[O-]S(=O)(=O)[O-].[Fe+2]
432,Fesoterodine Fumarate,Compound(9849808),527.6,C30H41NO7,CC(C)C(=O)OC1=C(C=C(C=C1)CO)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2.C(=CC(=O)O)C(=O)O
433,Fexofenadine Hydrochloride,Compound(63002),538.1,C32H40ClNO4,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O.Cl
436,Finasteride,Compound(57363),372.5,C23H36N2O2,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C
437,Fingolimod,Compound(107970),307.5,C19H33NO2,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N
438,Flavoxate Hydrochloride,Compound(441345),427.9,C24H26ClNO4,CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4.Cl
439,Flecainide Acetate,Compound(41022),474.4,C19H24F6N2O5,CC(=O)O.C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
440,Flucloxacillin,Compound(21319),453.9,C19H17ClFN3O5S,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
441,Fluconazole,Compound(3365),306.27,C13H12F2N6O,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
442,Flucytosine,Compound(3366),129.09,C4H4FN3O,C1=NC(=O)NC(=C1F)N
443,Fludarabine Phosphate,Compound(30751),365.21,C10H13FN5O7P,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)COP(=O)(O)O)O)O)F)N
444,Fludrocortisone Acetate,Compound(225609),422.5,C23H31FO6,CC(=O)OCC(=O)C1(CCC2C1(CC(C3(C2CCC4=CC(=O)CCC43C)F)O)C)O
445,Fludroxycortide,Compound(15209),436.5,C24H33FO6,CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C
446,Flumazenil,Compound(3373),303.29,C15H14FN3O3,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C
447,Fluocinolone Acetonide,Compound(6215),452.5,C24H30F2O6,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C
448,Fluocinonide,Compound(9642),494.5,C26H32F2O7,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C
449,Fluorescein Sodium,Compound(10608),376.3,C20H10Na2O5,C1=CC=C(C(=C1)C2=C3C=CC(=O)C=C3OC4=C2C=CC(=C4)[O-])C(=O)[O-].[Na+].[Na+]
450,Fluorometholone,Compound(9878),376.5,C22H29FO4,CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
451,Fluorouracil,Compound(3385),130.08,C4H3FN2O2,C1=C(C(=O)NC(=O)N1)F
452,Fluoxetine,Compound(3386),309.33,C17H18F3NO,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
453,Flupentixol,Compound(5281881),434.5,C23H25F3N2OS,C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
454,Flupentixol Decanoate,Compound(6434100),588.8,C33H43F3N2O2S,CCCCCCCCCC(=O)OCCN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
455,Fluphenazine Decanoate,Compound(3388),591.8,C32H44F3N3O2S,CCCCCCCCCC(=O)OCCN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
456,Flurazepam,Compound(3393),387.9,C21H23ClFN3O,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F
457,Flurbiprofen,Compound(3394),244.26,C15H13FO2,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
458,Flutamide,Compound(3397),276.21,C11H11F3N2O3,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F
459,Fluticasone,Compound(5311101),444.5,C22H27F3O4S,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)SCF)O)C)O)F)C)F
460,Fluvastatin,Compound(446155),411.5,C24H26FNO4,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F
461,Fluvoxamine Maleate,Compound(9560989),434.4,C19H25F3N2O6,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F.C(=CC(=O)O)C(=O)O
462,Folic Acid,Compound(135398658),441.4,C19H19N7O6,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
463,Folinic Acid,Compound(135403648),473.4,C20H23N7O7,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
465,Formaldehyde,Compound(712),30.026,CH2O,C=O
466,Formoterol Fumarate,Compound(9832292),804.9,C42H52N4O12,CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O.CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O.C(=CC(=O)O)C(=O)O
467,Fosamprenavir,Compound(131536),585.6,C25H36N3O9PS,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)OP(=O)(O)O)S(=O)(=O)C3=CC=C(C=C3)N
468,Fosaprepitant,Compound(135413538),614.4,C23H22F7N4O6P,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NN(C(=O)N3)P(=O)(O)O)C4=CC=C(C=C4)F
469,Foscarnet Sodium,Compound(44561),191.95,CNa3O5P,C(=O)([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+]
470,Fosfomycin,Compound(446987),138.06,C3H7O4P,CC1C(O1)P(=O)(O)O
471,Fosinopril Sodium,Compound(23681451),585.6,C30H45NNaO7P,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)[O-])C3CCCCC3.[Na+]
472,Fosphenytoin Sodium,Compound(56338),406.24,C16H13N2Na2O6P,C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)([O-])[O-])C3=CC=CC=C3.[Na+].[Na+]
473,Fostamatinib,Compound(11671467),580.5,C23H26FN6O9P,CC1(C(=O)N(C2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)COP(=O)(O)O)C
474,Framycetin Sulfate,Compound(24978553),908.9,C23H52N6O25S3,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O
476,Frovatriptan,Compound(77992),243.3,C14H17N3O,CNC1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)N
477,Fulvestrant,Compound(104741),606.8,C32H47F5O3S,CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F
478,Furosemide,Compound(3440),330.74,C12H11ClN2O5S,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
479,Fusidic Acid,Compound(3000226),516.7,C31H48O6,CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C
480,Gabapentin,Compound(3446),171.24,C9H17NO2,C1CCC(CC1)(CC(=O)O)CN
481,Galantamine,Compound(9651),287.35,C17H21NO3,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O
483,Ganciclovir,Compound(135398740),255.23,C9H13N5O4,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N
485,Gefitinib,Compound(123631),446.9,C22H24ClFN4O3,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
486,Gelatin,Compound(441411),219.66,C9H14ClNO3,CNCC(C1=CC(=C(C=C1)O)O)O.Cl
487,Gemcitabine,Compound(60750),263.2,C9H11F2N3O4,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
488,Gemeprost,Compound(5282237),394.5,C23H38O5,CCCCC(C)(C)C(C=CC1C(CC(=O)C1CCCCC=CC(=O)OC)O)O
489,Gemfibrozil,Compound(3463),250.33,C15H22O3,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
490,Gentamicin,Compound(3467),477.6,C21H43N5O7,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
491,Gilteritinib,Compound(49803313),552.7,C29H44N8O3,CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC(=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)OC)NC5CCOCC5
492,Glasdegib,Compound(25166913),374.4,C21H22N6O,CN1CCC(CC1C2=NC3=CC=CC=C3N2)NC(=O)NC4=CC=C(C=C4)C#N
493,Glatiramer Acetate,Compound(3081884),623.7,C25H45N5O13,CC(C(=O)O)N.CC(=O)O.C1=CC(=CC=C1CC(C(=O)O)N)O.C(CCN)CC(C(=O)O)N.C(CC(=O)O)C(C(=O)O)N
494,Glibenclamide,Compound(3488),494.0,C23H28ClN3O5S,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
495,Gliclazide,Compound(3475),323.4,C15H21N3O3S,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2
496,Glimepiride,Compound(3476),490.6,C24H34N4O5S,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C
497,Glipizide,Compound(3478),445.5,C21H27N5O4S,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
499,Glucosamine,Compound(439213),179.17,C6H13NO5,C(C1C(C(C(C(O1)O)N)O)O)O
500,Glucose,Compound(5793),180.16,C6H12O6,C(C1C(C(C(C(O1)O)O)O)O)O
501,Glutaraldehyde,Compound(3485),100.12,C5H8O2,C(CC=O)CC=O
502,Glycerol,Compound(753),92.09,C3H8O3,C(C(CO)O)O
503,Glycerol Phenylbutyrate,Compound(10482134),530.6,C33H38O6,C1=CC=C(C=C1)CCCC(=O)OCC(COC(=O)CCCC2=CC=CC=C2)OC(=O)CCCC3=CC=CC=C3
504,Glyceryl Trinitrate,Compound(4510),227.09,C3H5N3O9,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
505,Glycine,Compound(750),75.07,C2H5NO2,C(C(=O)O)N
506,Glycopyrronium Bromide,Compound(11693),398.3,C19H28BrNO3,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C.[Br-]
509,Granisetron,Compound(5284566),312.4,C18H24N4O,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C
511,Griseofulvin,Compound(441140),352.8,C17H17ClO6,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC
512,Guanfacine,Compound(3519),246.09,C9H9Cl2N3O,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl
513,Haem Arginate,Compound(3086464),792.7,C40H48FeN8O6+2,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C.C(CC(C(=O)O)N)CN=C(N)N.[Fe+2]
514,Haloperidol,Compound(3559),375.9,C21H23ClFNO2,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
515,Haloperidol Decanoate,Compound(52919),530.1,C31H41ClFNO3,CCCCCCCCCC(=O)OC1(CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F)C3=CC=C(C=C3)Cl
517,Hexetidine,Compound(3607),339.6,C21H45N3,CCCCC(CC)CN1CC(CN(C1)CC(CC)CCCC)(C)N
519,Hydralazine Hydrochloride,Compound(9351),196.64,C8H9ClN4,C1=CC=C2C(=C1)C=NN=C2NN.Cl
520,Hydrochlorothiazide,Compound(3639),297.7,C7H8ClN3O4S2,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
521,Hydrocortisone,Compound(5754),362.5,C21H30O5,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O
522,Hydrocortisone Butyrate,Compound(26133),432.5,C25H36O6,CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO
523,Hydrogen Peroxide,Compound(784),34.015,H2O2,OO
524,Hydromorphone Hydrochloride,Compound(5462347),321.8,C17H20ClNO3,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4.Cl
526,Hydroxycarbamide,Compound(3657),76.055,CH4N2O2,C(=O)(N)NO
527,Hydroxychloroquine Sulfate,Compound(12947),434.0,C18H28ClN3O5S,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO.OS(=O)(=O)O
528,Hydroxyzine Hydrochloride,Compound(91513),447.8,C21H29Cl3N2O2,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl
529,Hyoscine Butylbromide,Compound(6852391),440.4,C21H30BrNO4,CCCC[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4)C.[Br-]
530,Hyoscine Hydrobromide,Compound(6603108),384.3,C17H22BrNO4,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4.Br
531,Hypromellose,Compound(24832095),748.8,C32H60O19,CC(COCC1C(C(C(C(O1)OC)OCC(C)O)OCC(C)O)OC2C(C(C(C(O2)COC)OC3C(C(C(C(O3)CO)OC)O)O)OC)OC)O
532,Ibandronic Acid,Compound(60852),319.23,C9H23NO7P2,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
533,Ibrutinib,Compound(24821094),440.5,C25H24N6O2,C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N
534,Ibuprofen,Compound(3672),206.28,C13H18O2,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
537,Idarubicin Hydrochloride,Compound(636362),534.0,C26H28ClNO9,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O.Cl
538,Idebenone,Compound(3686),338.4,C19H30O5,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO
539,Idelalisib,Compound(11625818),415.4,C22H18FN7O,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5
541,Ifosfamide,Compound(3690),261.08,C7H15Cl2N2O2P,C1CN(P(=O)(OC1)NCCCl)CCCl
542,Iloprost,Compound(5311181),360.5,C22H32O4,CC#CCC(C)C(C=CC1C(CC2C1CC(=CCCCC(=O)O)C2)O)O
543,Imatinib,Compound(5291),493.6,C29H31N7O,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
544,Imidapril Hydrochloride,Compound(5485193),441.9,C20H28ClN3O6,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C(CN(C2=O)C)C(=O)O.Cl
546,Imipramine Hydrochloride,Compound(8228),316.9,C19H25ClN2,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
547,Imiquimod,Compound(57469),240.3,C14H16N4,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N
548,Indacaterol,Compound(6918554),392.5,C24H28N2O3,CCC1=C(C=C2CC(CC2=C1)NCC(C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC
549,Indapamide,Compound(3702),365.8,C16H16ClN3O3S,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
550,Indometacin,Compound(3715),357.8,C19H16ClNO4,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
551,Indoramin,Compound(33625),347.5,C22H25N3O,C1CN(CCC1NC(=O)C2=CC=CC=C2)CCC3=CNC4=CC=CC=C43
552,Ingenol Mebutate,Compound(6918670),430.5,C25H34O6,CC=C(C)C(=O)OC1C(=CC23C1(C(C(=CC(C2=O)C4C(C4(C)C)CC3C)CO)O)O)C
554,Inositol Nicotinate,Compound(3720),810.7,C42H30N6O12,C1=CC(=CN=C1)C(=O)OC2C(C(C(C(C2OC(=O)C3=CN=CC=C3)OC(=O)C4=CN=CC=C4)OC(=O)C5=CN=CC=C5)OC(=O)C6=CN=CC=C6)OC(=O)C7=CN=CC=C7
557,Ipratropium Bromide,Compound(657308),412.4,C20H30BrNO3,CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-]
558,Irbesartan,Compound(3749),428.5,C25H28N6O,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
559,Irinotecan Hydrochloride,Compound(74990),623.1,C33H39ClN4O6,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7.Cl
560,Iron Dextran,Compound(105075),153.93,FeH2O4S,OS(=O)(=O)O.[Fe]
562,Iron Sucrose,Compound(91663255),866.5,C12H29Fe5Na2O23,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O.O.O.O.[OH-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Na+].[Na+].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3]
563,Isavuconazole,Compound(6918485),437.5,C22H17F2N5OS,CC(C1=NC(=CS1)C2=CC=C(C=C2)C#N)C(CN3C=NC=N3)(C4=C(C=CC(=C4)F)F)O
564,Isocarboxazid,Compound(3759),231.25,C12H13N3O2,CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2
565,Isoflurane,Compound(3763),184.49,C3H2ClF5O,C(C(F)(F)F)(OC(F)F)Cl
566,Isoniazid,Compound(3767),137.14,C6H7N3O,C1=CN=CC=C1C(=O)NN
